time	V(vout)
Step Information: R_sensor=1K  (Step: 1/10)
0.000000000000000e+00	4.545455e-01
9.827253124948998e-07	4.545455e-01
9.993268749948984e-07	4.545455e-01
1.000000000000000e-06	4.545455e-01
Step Information: R_sensor=2K  (Step: 2/10)
0.000000000000000e+00	8.333333e-01
9.817487499948999e-07	8.333333e-01
9.993268749948984e-07	8.333333e-01
1.000000000000000e-06	8.333333e-01
Step Information: R_sensor=3K  (Step: 3/10)
0.000000000000000e+00	1.153846e+00
9.817487499948999e-07	1.153846e+00
9.993268749948984e-07	1.153846e+00
1.000000000000000e-06	1.153846e+00
Step Information: R_sensor=4K  (Step: 4/10)
0.000000000000000e+00	1.428571e+00
9.817487499948999e-07	1.428571e+00
9.993268749948984e-07	1.428571e+00
1.000000000000000e-06	1.428571e+00
Step Information: R_sensor=5K  (Step: 5/10)
0.000000000000000e+00	1.666667e+00
9.817487499948999e-07	1.666667e+00
9.993268749948984e-07	1.666667e+00
1.000000000000000e-06	1.666667e+00
Step Information: R_sensor=6K  (Step: 6/10)
0.000000000000000e+00	1.875000e+00
9.817487499948999e-07	1.875000e+00
9.993268749948984e-07	1.875000e+00
1.000000000000000e-06	1.875000e+00
Step Information: R_sensor=7K  (Step: 7/10)
0.000000000000000e+00	2.058824e+00
9.817487499948999e-07	2.058824e+00
9.993268749948984e-07	2.058824e+00
1.000000000000000e-06	2.058824e+00
Step Information: R_sensor=8K  (Step: 8/10)
0.000000000000000e+00	2.222222e+00
9.817487499948999e-07	2.222222e+00
9.993268749948984e-07	2.222222e+00
1.000000000000000e-06	2.222222e+00
Step Information: R_sensor=9K  (Step: 9/10)
0.000000000000000e+00	2.368421e+00
9.817487499948999e-07	2.368421e+00
9.993268749948984e-07	2.368421e+00
1.000000000000000e-06	2.368421e+00
Step Information: R_sensor=10K  (Step: 10/10)
0.000000000000000e+00	2.500000e+00
9.817487499948999e-07	2.500000e+00
9.993268749948984e-07	2.500000e+00
1.000000000000000e-06	2.500000e+00
